     Time_Now  Buffer_Level 
      2.48944             0
      2.48944             2
      2.94832       1.54112
      2.94832       3.54112
      4.59008       1.89936
      4.59008       3.89936
      5.34668       3.14276
      5.34668       5.14276
      7.46572       3.02372
      7.46572       5.02372
      9.30127       3.18817
      9.30127       5.18817
      9.68061       4.80882
      9.68061       6.80882
      9.86888       6.62056
      9.86888       8.62056
      11.2678       7.22162
      11.2678       9.22162
      11.9987       8.49075
      11.9987       10.4907
      15.3934       7.09605
      15.3934       9.09605
      16.0482        8.4412
      16.0482       10.4412
      16.6882       9.80125
      16.6882       11.8012
      16.8835       11.6059
      16.8835       13.6059
      16.9845        13.505
      16.9845        15.505
      17.7185        14.771
      17.7185        16.771
      17.9148       16.5746
      17.9148       18.5746
      19.5838       16.9056
      19.5838       18.9056
      24.5768       13.9127
      24.5768       15.9127
      25.6008       14.8887
      25.6008       16.8887
      27.7079       14.7816
      27.7079       16.7816
      28.4621       16.0273
      28.4621       18.0273
      30.5525       15.9369
      30.5525       17.9369
      31.8413       16.6481
      31.8413       18.6481
      33.9511       16.5384
      33.9511       18.5384
      35.0575       17.4319
      35.0575       19.4319
      36.0798       18.4096
      36.0798       20.4096
      37.0007       19.4887
      37.0007       21.4887
      37.2751       21.2144
      37.2751       23.2144
      37.7383       22.7512
      37.7383       24.7512
      37.9275        24.562
      37.9275        26.562
      38.1221       26.3673
      38.1221       28.3673
      39.0422       27.4472
      39.0422       29.4472
      39.1357       29.3537
      39.1357       31.3537
      40.4386       30.0509
      40.4386       32.0509
      40.8174       31.6721
      40.8174       33.6721
      41.3656       33.1239
      41.3656       35.1239
      41.4598       35.0297
      41.4598       37.0297
       41.922       36.5675
       41.922       38.5675
      42.1031       38.3863
      42.1031       40.3863
      42.6572       39.8323
      42.6572       41.8323
      43.2145        41.275
      43.2145        43.275
      43.7816       42.7079
      43.7816       44.7079
      44.3313       44.1582
      44.3313       46.1582
      44.7015        45.788
      44.7015        47.788
      45.0838       47.4056
      45.0838       49.4056
      45.1769       49.3125
      45.1769       51.3125
      45.2693       51.2201
      45.2693       53.2201
      45.5535       52.9359
      45.5535       54.9359
      45.6456       54.8439
      45.6456       56.8439
      45.7375        56.752
      45.7375        58.752
      45.8291       58.6604
      45.8291       60.6604
      46.5773       59.9121
      46.5773       61.9121
      47.9543       60.5351
      47.9543       62.5351
      49.1711       61.3183
      49.1711       63.3183
      49.5543       62.9352
      49.5543       64.9352
      51.1135       63.3759
      51.1135       65.3759
      51.7722       64.7172
      51.7722       66.7172
       51.868       66.6215
       51.868       68.6215
      52.0515       68.4379
      52.0515       70.4379
      52.3295         70.16
      52.3295         72.16
      53.6307       70.8587
      53.6307       72.8587
      55.1088       71.3806
      55.1088       73.3806
      55.8598       72.6296
      55.8598       74.6296
       55.955       74.5345
       55.955       76.5345
      56.1447       76.3447
      56.1447       78.3447
      56.6192       77.8703
      56.6192       79.8703
      56.9849       79.5045
      56.9849       81.5045
       57.084       81.4054
       57.084       83.4054
      58.1149       82.3745
      58.1149       84.3745
      59.3083       83.1812
      59.3083       85.1812
      59.9605       84.5289
      59.9605       86.5289
      60.0542       86.4353
      60.0542       88.4353
       60.147       88.3424
       60.147       90.3424
      60.2383       90.2512
      60.2383       92.2512
      60.3341       92.1553
      60.3341       94.1553
      61.7107       92.7787
      61.7107       94.7787
       62.463       94.0264
       62.463       96.0264
      63.8534        94.636
      63.8534        96.636
      63.9537       96.5357
      63.9537       98.5357
      64.0529       98.4365
      64.0529       100.437
      65.1637       99.3258
      65.1637       101.326
      66.1888       100.301
      66.1888       102.301
      67.3799       101.109
      67.3799       103.109
      67.4786       103.011
      67.4786       105.011
      68.3222       104.167
      68.3222       106.167
      69.2412       105.248
      69.2412       107.248
      70.1779       106.312
      70.1779       108.312
      71.3882       107.101
      71.3882       109.101
      72.8627       107.627
      72.8627       109.627
      72.9603       109.529
      72.9603       111.529
      74.7142       109.775
      74.7142       111.775
      74.8113       111.678
      74.8113       113.678
      75.7466       112.743
      75.7466       114.743
      77.4116       113.078
      77.4116       115.078
      77.5058       114.984
      77.5058       116.984
      77.6043       116.885
      77.6043       118.885
      79.0678       117.422
      79.0678       119.422
      79.9072       118.582
      79.9072       120.582
      81.0203       119.469
      81.0203       121.469
      81.1172       121.372
      81.1172       123.372
       82.123       122.366
       82.123       124.366
      82.2178       124.272
      82.2178       126.272
       82.312       126.177
       82.312       128.177
       82.966       127.523
       82.966       129.523
      83.1562       129.333
      83.1562       131.333
      84.2659       130.224
      84.2659       132.224
      85.2834       131.206
      85.2834       133.206
      85.7408       132.749
      85.7408       134.749
      86.3079       134.182
      86.3079       136.182
      86.4011       136.088
      86.4011       138.088
      86.4939       137.996
      86.4939       139.996
      86.6903       139.799
      86.6903       141.799
      86.8805       141.609
      86.8805       143.609
      87.0754       143.414
      87.0754       145.414
      87.2697        145.22
      87.2697        147.22
       87.748       146.741
       87.748       148.741
      87.8429       148.646
      87.8429       150.646
      88.7786       149.711
      88.7786       151.711
      89.4361       151.053
      89.4361       153.053
      90.4476       152.042
      90.4476       154.042
      90.5431       153.946
      90.5431       155.946
      90.8309       155.659
      90.8309       157.659
      91.1199        157.37
      91.1199        159.37
      91.2186       159.271
      91.2186       161.271
      91.3182       161.171
      91.3182       163.171
      91.4161       163.073
      91.4161       165.073
      92.6064       163.883
      92.6064       165.883
      93.7253       164.764
      93.7253       166.764
      94.6578       165.832
      94.6578       167.832
       95.479        167.01
       95.479        169.01
      96.1333       168.356
      96.1333       170.356
      96.9644       169.525
      96.9644       171.525
      97.6158       170.874
      97.6158       172.874
      98.1734       172.316
      98.1734       174.316
      98.8311       173.658
      98.8311       175.658
      98.9249       175.565
      98.9249       177.565
