     Time_Now  Buffer_Level 
      2.53925             0
      2.53925             2
      3.37772       1.16153
      3.37772       3.16153
      3.74849       2.79076
      3.74849       4.79076
        4.125       4.41425
        4.125       6.41425
      4.41171       6.12755
      4.41171       8.12755
      4.69555        7.8437
      4.69555        9.8437
      4.88959       9.64967
      4.88959       11.6497
      5.08032       11.4589
      5.08032       13.4589
      5.27436       13.2649
      5.27436       15.2649
      5.46541       15.0738
      5.46541       17.0738
      5.66396       16.8753
      5.66396       18.8753
      5.85582       18.6834
      5.85582       20.6834
       6.0427       20.4966
       6.0427       22.4966
      6.15254       22.3867
      6.15254       24.3867
      6.73646       23.8028
      6.73646       25.8028
      7.76095       24.7783
      7.76095       26.7783
      9.00884       25.5304
      9.00884       27.5304
      10.3336       26.2057
      10.3336       28.2057
      11.8195       26.7198
      11.8195       28.7198
      13.3236       27.2156
      13.3236       29.2156
      15.1787       27.3605
      15.1787       29.3605
      18.0592       26.4801
      18.0592       28.4801
      20.5058       26.0334
      20.5058       28.0334
      22.8433       25.6959
      22.8433       27.6959
      24.7502        25.789
      24.7502        27.789
      26.6447       25.8946
      26.6447       27.8946
      28.1799       26.3594
      28.1799       28.3594
       29.735       26.8042
       29.735       28.8042
      31.2162       27.3231
      31.2162       29.3231
      32.8602        27.679
      32.8602        29.679
      34.2777       28.2615
      34.2777       30.2615
      36.1067       28.4326
      36.1067       30.4326
